Country,Clicks,Impressions,CTR,Position
United States,50,868,5.76%,5.32
Ireland,1,4,25%,3
Nigeria,1,1,100%,34
Canada,0,6,0%,9
Indonesia,0,4,0%,21.25
Spain,0,3,0%,8
United Kingdom,0,3,0%,10
Australia,0,2,0%,3.5
Italy,0,2,0%,8
Fiji,0,2,0%,11
Brazil,0,2,0%,21.5
Vietnam,0,2,0%,27
Japan,0,2,0%,76.5
India,0,1,0%,1
South Africa,0,1,0%,1
China,0,1,0%,3
Dominican Republic,0,1,0%,4
Bangladesh,0,1,0%,6
Pakistan,0,1,0%,6
Ecuador,0,1,0%,9
France,0,1,0%,9
Mexico,0,1,0%,9
Belgium,0,1,0%,11
Jamaica,0,1,0%,12
Morocco,0,1,0%,35
