Top pages,Clicks,Impressions,CTR,Position
https://school.scsjcluster.org/,41,553,7.41%,5.33
https://school.scsjcluster.org/staff,4,99,4.04%,5.43
https://school.scsjcluster.org/about-us,3,259,1.16%,4.38
https://school.scsjcluster.org/calendar,1,106,0.94%,6.64
https://school.scsjcluster.org/tuition-and-fees,1,77,1.3%,6.43
https://school.scsjcluster.org/dress-code,1,33,3.03%,6.24
https://school.scsjcluster.org/fundraising---school-support,1,22,4.55%,5.36
https://school.scsjcluster.org/school-awards,1,3,33.33%,5
https://school.scsjcluster.org/page1,0,91,0%,4.33
https://school.scsjcluster.org/school-history,0,69,0%,6.86
https://school.scsjcluster.org/why-a-catholic-education,0,56,0%,4.07
https://school.scsjcluster.org/athletics,0,46,0%,7.39
https://school.scsjcluster.org/admissions,0,34,0%,4.21
https://school.scsjcluster.org/school-faq,0,32,0%,4.56
https://school.scsjcluster.org/academics,0,13,0%,5.08
https://school.scsjcluster.org/why-sjoa-school,0,13,0%,14.62
https://school.scsjcluster.org/testimonials,0,11,0%,6
https://school.scsjcluster.org/extended-care,0,7,0%,12.71
https://school.scsjcluster.org/home---school-committee,0,6,0%,7.5
https://school.scsjcluster.org/middle-school,0,4,0%,2.75
https://school.scsjcluster.org/community-events,0,4,0%,7
https://school.scsjcluster.org/alumni,0,3,0%,6
https://school.scsjcluster.org/extracurriculars,0,3,0%,7
https://school.scsjcluster.org/our-foundation,0,2,0%,9
https://school.scsjcluster.org/schedule-a-tour,0,1,0%,28
